tour,place,prize,team
GosuLeague Season 2,3,$500,Darer
GosuLeague Season 2,3,$500,NEXT.kz
GosuLeague Season 2,3,$500,Keita Gaming
GosuLeague Season 2,3,$500,Moscow Five
GosuLeague Season 2,3,$500,Team Infused
GosuLeague Season 2,3,$500,EYES ON U
Gigabyte Dota 2 Masters,1,"$3,000",LGD Gaming
Gigabyte Dota 2 Masters,2,"$1,250",Team Zenith
Gigabyte Dota 2 Masters,3,$750,Orange Esports
Gigabyte Dota 2 Masters,3,$750,TongFu
Gigabyte Dota 2 Masters,3,$750,Invictus Gaming
Gigabyte Dota 2 Masters,3,$750,World Elite
Gigabyte Dota 2 Masters,3,$750,EHOME
Gigabyte Dota 2 Masters,3,$750,AEONSports
Gigabyte Dota 2 Masters,3,$750,Ice
Gigabyte Dota 2 Masters,3,$750,Invasion e-Sports
Gigabyte Dota 2 Masters,3,$750,MUFC
Gigabyte Dota 2 Masters,3,$750,Giggles 
Gigabyte Dota 2 Masters,3,$750,Team DK
Gigabyte Dota 2 Masters,3,$750,Big Plays 
Gigabyte Dota 2 Masters,3,$750,Absolute Legends
Gigabyte Dota 2 Masters,3,$750,Sequential Gaming
Gigabyte Dota 2 Masters,3,$750,MiTH.Trust
Gigabyte Dota 2 Masters,3,$750,Space Monkeys
Gigabyte Dota 2 Masters,3,$750,Mineski
Gigabyte Dota 2 Masters,3,$750,Duskbin
Gigabyte Dota 2 Masters,3,$750,Art-Gaming
Gigabyte Dota 2 Masters,3,$750,StarsBoba
Gigabyte Dota 2 Masters,3,$750,Ledion Dreamz
Gigabyte Dota 2 Masters,3,$750,Neolution E-Sport
GosuLeague Season 1,1,$750,Team Infused
GosuLeague Season 1,2,$500,Keita Gaming
GosuLeague Season 1,3,$250,Moscow Five
GosuLeague Season 1,3,$250,NEXT.kz
GosuLeague Season 1,3,$250,It's Gosu eSports
GosuLeague Season 1,3,$250,DTS Gaming
GosuLeague Season 1,3,$250,mousesports
GosuLeague Season 1,3,$250,EnRo
Dota2Replays Brawl,1,"$4,000",mousesports
Dota2Replays Brawl,2,"$1,500",compLexity Gaming
Dota2Replays Brawl,3,$700,Counter Logic Gaming
Dota2Replays Brawl,3,$700,Absolute Legends
Razer Dota 2 Tournament,1,"$2,500",Mineski
Razer Dota 2 Tournament,2,"$1,000",Orange Esports
Razer Dota 2 Tournament,3,$500,AEONSports
Razer Dota 2 Tournament,3,$500,Genuineness of Geeks
Malaysia Invitational,1,"$5,000",Orange Esports
Malaysia Invitational,2,"$3,000",MiTH.Trust
Malaysia Invitational,3,"$2,000",Mineski
Malaysia Invitational,3,"$2,000",MUFC
Malaysia Invitational,3,"$2,000",AEONSports
Malaysia Invitational,3,"$2,000",Meet Your Makers
Malaysia Invitational,3,"$2,000",Neolution E-Sport
Malaysia Invitational,3,"$2,000",RedSpade
DreamHack Winter 2011,1,"$7,127",Wild Honey Badgers
DreamHack Winter 2011,2,"$3,563",Fnatic
DreamHack Winter 2011,3,"$2,138",SK Gaming
DreamHack Winter 2011,4,"$1,425",Team Shakira
DreamHack Winter 2011,4,"$1,425",ND9 1
DreamHack Winter 2011,4,"$1,425",BX3 eSports Club
DreamHack Winter 2011,4,"$1,425",Nook1e
DreamHack Winter 2011,4,"$1,425",BlitZ
